ÍêèµÛÇÑÛµû,Ypthima perfecta,0
½­ÆéÛÇÑÛµû,Ypthima esakii,5
ÖĞ»ªÛÇÑÛµû,Ypthima chinensis,22
Ğ¡ÛÇÑÛµû,Ypthima nareda,1
ÄâËÄÑÛÛÇÑÛµû,Ypthima imitans,2
ºçÛÇÑÛµû,Ypthima iris,15
ÃÜÎÆÛÇÑÛµû,Ypthima multistriata,400
ÖØ¹âÛÇÑÛµû,Ypthima dromon,1
ÂÒÔÆÛÇÑÛµû,Ypthima megalomma,9
Çú°ßÛÇÑÛµû,Ypthima zyzzomacula,0
¶«ÑÇÛÇÑÛµû,Ypthima motschulskyi,10
ÂõÊ½ÛÇÑÛµû,Ypthima melli,1
Ğ¡ÈıÛÇÑÛµû,Ypthima norma,24
